Pu-Pu:PuDAV:  18     0.152539892138E+03    0.41712E-06   -0.15220E-06  1104   0.103E-02
Pu-Pu:Pu-PuDAV:   6     0.349258023786E+03   -0.38285E-06   -0.61611E-06  1744   0.182E-02
Sm_3:DAV:   9    -0.180961883432E+02   -0.75811E-06   -0.10810E-07   512   0.225E-03
Sm_3-Sm_3:DAV:   7    -0.610842478935E+02   -0.44140E-07   -0.51647E-08   640   0.133E-03
Sm_3:Sm_3DAV:   6    -0.177510976901E+02   -0.32699E-06   -0.65058E-07   704   0.543E-03
Sm_3:-Sm_3DAV:   6    -0.177510969296E+02   -0.40974E-06   -0.68347E-07   704   0.561E-03
Sm_3-Sm_3:Sm_3DAV:   8    -0.607412981455E+02    0.42124E-06   -0.74428E-06   856   0.201E-02
Sm_3-Sm_3:Sm_3-Sm_3DAV:  11    -0.103724956625E+03   -0.94746E-06   -0.68861E-06   696   0.220E-03
U:DAV:   3    -0.267849335129E+02    0.74344E-06   -0.20397E-06   464   0.937E-03
U-U:DAV:  21     0.212837549787E+03   -0.12759E-06   -0.14312E-08   584   0.109E-03
U:UDAV:  15    -0.351285203634E+02    0.26546E-06   -0.62474E-07   632   0.555E-03
U:-UDAV:   6    -0.351285196286E+02   -0.43051E-06   -0.89970E-07   688   0.920E-03
U-U:UDAV:  18     0.204493258304E+03   -0.62483E-06   -0.19525E-06   936   0.638E-03
U-U:U-UDAV: 100     0.337735027607E+03   -0.15036E+01   -0.30760E-01  2128   0.554E+00
Al:DAV:   2    -0.212131969239E+02    0.12788E-06   -0.26862E-07   528   0.179E-03
Al-Al:DAV:   2     0.183520645850E+02    0.27267E-07   -0.19195E-07   584   0.210E-03
Al:AlDAV:   2    -0.239844763871E+02    0.25653E-09   -0.29530E-08   472   0.876E-04
Al:-AlDAV:   2    -0.239844763050E+02    0.27580E-09   -0.29699E-08   480   0.883E-04
Al-Al:AlDAV:  11     0.155808698727E+02    0.63521E-06   -0.35729E-07   480   0.236E-03
Al-Al:Al-AlDAV:   2     0.551463108280E+02    0.72564E-06   -0.24017E-06   472   0.711E-03
Ce_3:DAV:  12    -0.160120026252E+02   -0.23007E-06   -0.43752E-07   536   0.340E-03
Ce_3-Ce_3:DAV:   4     0.170025538238E+03   -0.60316E+01   -0.60202E+01  1008   0.295E+01
Ce_3:Ce_3DAV:   2    -0.135826980024E+02   -0.89422E-07   -0.50772E-07   680   0.301E-03
Ce_3:-Ce_3DAV:   4    -0.135826986260E+02    0.10359E-08   -0.15786E-07   656   0.235E-03
Ce_3-Ce_3:Ce_3DAV:   5     0.164118168277E+03   -0.53081E+00   -0.47379E+00  1152   0.787E+00    0.586E+01
Ce_3-Ce_3:Ce_3-Ce_3DAV:   4     0.382769062569E+03   -0.23653E+02   -0.23386E+02  1280   0.554E+01
Fe:DAV: 100    -0.246244124350E+02   -0.10472E+00   -0.12667E-03   648   0.247E-01
Fe-Fe:DAV:  10    -0.111933811539E+02    0.71208E-07   -0.13854E-07   312   0.327E-03
Fe:FeDAV:  10    -0.304154433735E+02   -0.78045E-07   -0.73699E-08   280   0.238E-03
Fe:-FeDAV:  14    -0.304154422952E+02   -0.46556E-06   -0.11751E-07   288   0.312E-03
Fe-Fe:FeDAV:  19    -0.171806349161E+02   -0.98961E-06   -0.11135E-07   568   0.279E-03
Fe-Fe:Fe-FeDAV:   5    -0.394541923396E+01    0.55842E-06   -0.16622E-06   624   0.733E-03
Hf_pv:DAV:   2    -0.246712541611E+02   -0.20176E-07   -0.44398E-06   536   0.401E-03
Hf_pv-Hf_pv:DAV:   3     0.939705359516E+02    0.78177E-06   -0.13706E-06   768   0.709E-03
Hf_pv:Hf_pvDAV:   4    -0.309012268829E+02    0.18085E-08   -0.15601E-07   696   0.205E-03
Hf_pv:-Hf_pvDAV:   3    -0.309012252598E+02    0.68991E-06   -0.76739E-06   688   0.456E-03
Hf_pv-Hf_pv:Hf_pvDAV:   7     0.877387954233E+02    0.25339E-06   -0.94286E-07   624   0.352E-03
Hf_pv-Hf_pv:Hf_pv-Hf_pvDAV:   3     0.206382887493E+03    0.71075E-06   -0.71058E-06  1184   0.152E-02
Mn:DAV:   7    -0.251711532813E+02   -0.46383E-06   -0.17412E-06   576   0.710E-03
Mn-Mn:DAV:   6    -0.186923228516E+02   -0.22184E-06   -0.11604E-07   368   0.403E-03
Mn:MnDAV:  15    -0.319005244933E+02   -0.33421E-06   -0.11512E-07   264   0.384E-03
Mn:-MnDAV:  10    -0.319005240104E+02   -0.46695E-06   -0.23360E-07   272   0.427E-03
Mn-Mn:MnDAV:  20    -0.254217863240E+02    0.78708E-07   -0.52106E-08   552   0.198E-03
Mn-Mn:Mn-MnDAV:   6    -0.189430295844E+02   -0.35762E-06   -0.46700E-07   552   0.586E-03
O:DAV:   8    -0.203212468135E+02   -0.12820E-06   -0.13679E-08   408   0.579E-04
O-O:DAV:  10    -0.213075075575E+02   -0.76597E-06   -0.39475E-08   504   0.835E-04
O:ODAV:  15    -0.221739189454E+02   -0.86134E-06   -0.29811E-08   536   0.670E-04
O:-ODAV:   7    -0.221739181685E+02   -0.27086E-06   -0.32694E-08   472   0.115E-03
O-O:ODAV:  10    -0.232252413549E+02   -0.65846E-06   -0.16178E-07   600   0.239E-03
O-O:O-ODAV:   5    -0.241725911885E+02   -0.42182E-06   -0.79474E-08   656   0.193E-03
Pu_s:DAV:  27    -0.311233432493E+02   -0.17911E-06   -0.48129E-08   264   0.213E-03
Pu_s-Pu_s:DAV:  61     0.145441041384E+03    0.25919E-06   -0.13089E-08   456   0.945E-04
Pu_s:Pu_sDAV:   4    -0.438054209428E+02    0.11382E-06   -0.17763E-06   608   0.149E-02
Pu_s:-Pu_sDAV:   9    -0.438054194348E+02   -0.64606E-06   -0.89756E-07   592   0.655E-03
Pu_s-Pu_s:Pu_sDAV:  26     0.132758907787E+03    0.14658E-06   -0.11405E-07   816   0.268E-03
Pu_s-Pu_s:Pu_s-Pu_sDAV:  52     0.309322515393E+03    0.32869E-06   -0.54100E-08  1016   0.142E-03
Sn:DAV:   9    -0.179468208974E+02    0.83701E-06   -0.48724E-08   568   0.113E-03
Sn-Sn:DAV:  10     0.127211070360E+03   -0.27419E-06   -0.55676E-08   600   0.136E-03
Sn:SnDAV:   4    -0.174517983327E+02    0.71145E-06   -0.75803E-07   512   0.537E-03
Sn:-SnDAV:   5    -0.174517836675E+02    0.64658E-06   -0.11703E-06   520   0.544E-03
Sn-Sn:SnDAV:  13     0.127706583706E+03    0.28655E-06   -0.16263E-07   432   0.198E-03
Sn-Sn:Sn-SnDAV:  29     0.272869846166E+03   -0.33910E-06    0.18131E-06   400   0.972E-05
U_s:DAV:   2    -0.266585178287E+02    0.29527E-06   -0.36214E-06   432   0.787E-03
U_s-U_s:DAV:  47     0.195367131079E+03    0.62984E-06   -0.16929E-06   800   0.485E-03
U_s:U_sDAV:  27    -0.348758101282E+02    0.94717E-06   -0.11218E-07   456   0.221E-03
U_s:-U_sDAV:   5    -0.348756569820E+02   -0.43519E-07   -0.75582E-07   584   0.789E-03
U_s-U_s:U_sDAV:  16     0.187149682676E+03   -0.78169E-06   -0.10923E-06   912   0.941E-03
U_s-U_s:U_s-U_sDAV:   6     0.409175507638E+03    0.13586E-06   -0.77952E-07   976   0.898E-03
Al_h:DAV:  33    -0.215143936073E+02    0.11217E-06   -0.32940E-09   328   0.249E-04
Al_h-Al_h:DAV:  10     0.102466999643E+02   -0.35632E-06   -0.60204E-08   408   0.117E-03
Al_h:Al_hDAV:   5    -0.245854661955E+02   -0.41609E-06   -0.30523E-08   352   0.132E-03
Al_h:-Al_hDAV:   6    -0.245854313438E+02   -0.50444E-06   -0.18393E-07   352   0.367E-03
Al_h-Al_h:Al_hDAV: 100     0.724113399563E+01    0.56057E-02   -0.82016E-05   768   0.253E-02
Al_h-Al_h:Al_h-Al_hDAV:  15     0.389350475821E+02    0.94735E-06    0.98434E-06   352   0.105E-03
C_h:DAV:   6    -0.219726134145E+02   -0.50180E-06   -0.33969E-07   472   0.302E-03
C_h-C_h:DAV:   2    -0.364752132262E+02    0.25743E-06   -0.10892E-07   536   0.252E-03
C_h:C_hDAV:   9    -0.255021722534E+02    0.10027E-06   -0.73964E-08   536   0.154E-03
C_h:-C_hDAV:   9    -0.255021736567E+02   -0.94153E-07   -0.51221E-08   560   0.111E-03
C_h-C_h:C_hDAV:   5    -0.400072132334E+02   -0.42374E-06   -0.21339E-07   528   0.458E-03
C_h-C_h:C_h-C_hDAV:   2    -0.545090765316E+02    0.30510E-07   -0.56974E-08   616   0.173E-03
Fe_pv:DAV:   4    -0.245802449568E+02   -0.30632E-06   -0.20085E-07   504   0.390E-03
Fe_pv-Fe_pv:DAV:   9     0.113248396229E+01   -0.90085E-06   -0.11769E-07   664   0.373E-03
Fe_pv:Fe_pvDAV:  10    -0.307186235353E+02    0.67903E-06   -0.86624E-08   528   0.246E-03
Fe_pv:-Fe_pvDAV: 100    -0.144565402459E+04    0.59387E+02   -0.45580E+01  1160   0.136E+01
Fe_pv-Fe_pv:Fe_pvDAV:  17    -0.500714529622E+01    0.29837E-07   -0.10178E-07   584   0.353E-03
Fe_pv-Fe_pv:Fe_pv-Fe_pvDAV:   8     0.207062361210E+02    0.18060E-06   -0.59120E-07  1008   0.797E-03
Hg:DAV:   8    -0.161650078596E+02   -0.41811E-06   -0.48498E-08   480   0.144E-03
Hg-Hg:DAV:   5     0.187331947257E+03   -0.41931E-06   -0.27605E-07   616   0.247E-03
Hg:HgDAV:   7    -0.138884771886E+02   -0.40042E-06   -0.19693E-06   648   0.725E-03
Hg:-HgDAV:   9    -0.138884752734E+02    0.72978E-07   -0.17442E-08   576   0.950E-04
Hg-Hg:HgDAV:   9     0.189608571540E+03    0.77736E-07   -0.70248E-08   840   0.150E-03
Hg-Hg:Hg-HgDAV:   2     0.393105691315E+03    0.99953E-06   -0.63236E-06  1112   0.600E-03
Mn_pv:DAV:  14    -0.253119876812E+02   -0.75834E-06   -0.34423E-08   520   0.114E-03
Mn_pv-Mn_pv:DAV:  14    -0.925767422669E+00   -0.64000E-06   -0.59852E-08   640   0.193E-03
Mn_pv:Mn_pvDAV:   5    -0.321822094617E+02   -0.55288E-07   -0.77981E-07   584   0.111E-02
Mn_pv:-Mn_pvDAV:  54    -0.252412733805E+05   -0.14557E+05   -0.25201E+05  1040   0.607E+01    0.245E+01
Mn_pv-Mn_pv:Mn_pvDAV:   7    -0.779597904753E+01   -0.65647E-06   -0.49126E-07   712   0.894E-03
Mn_pv-Mn_pv:Mn_pv-Mn_pvDAV:   4     0.165902505315E+02    0.36765E-06   -0.54080E-07   920   0.660E-03
O_h:DAV:   8    -0.201008481728E+02   -0.15518E-06   -0.10846E-08   520   0.523E-04
O_h-O_h:DAV:   6    -0.206515711697E+02   -0.22986E-07   -0.94323E-09   512   0.723E-04
O_h:O_hDAV:   9    -0.217342160757E+02   -0.44787E-06   -0.11334E-07   456   0.269E-03
O_h:-O_hDAV:   8    -0.217341716931E+02    0.99554E-07   -0.11255E-07   432   0.301E-03
O_h-O_h:O_hDAV:   8    -0.223497534325E+02   -0.16547E-06   -0.62227E-08   712   0.171E-03
O_h-O_h:O_h-O_hDAV:   5    -0.228619846084E+02   -0.14105E-06   -0.67196E-08   656   0.192E-03
Rb_pv:DAV:   9    -0.126836564249E+02   -0.26505E-06   -0.50178E-08   480   0.109E-03
Rb_pv-Rb_pv:DAV:   5     0.129406259879E+03   -0.30969E-06   -0.63422E-08   552   0.180E-03
Rb_pv:Rb_pvDAV:   8    -0.692487706895E+01   -0.23770E-06   -0.45551E-07   432   0.434E-03
Rb_pv:-Rb_pvDAV:   7    -0.692487789481E+01   -0.43811E-06   -0.13577E-06   488   0.775E-03
Rb_pv-Rb_pv:Rb_pvDAV:   9     0.135165290180E+03    0.59902E-06   -0.54191E-07   712   0.303E-03
Rb_pv-Rb_pv:Rb_pv-Rb_pvDAV:   6     0.277255604731E+03    0.67691E-06   -0.18473E-06   656   0.672E-03
Sn_d:DAV:   4    -0.181544379136E+02    0.51013E-06   -0.62148E-07   464   0.599E-03
